Age,AgeGroup,Attrition,AttritionFlag,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,SatisfactionGroup,MaritalStatus,MonthlyIncome,IncomeGroup,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,TenureGroup,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
57,55+,No,0,Travel_Rarely,$960,Research & Development,6 km,3,Technical Degree,367,2,Female,$86,3,3,Healthcare Representative,1,Low,Married,"$13,106",High Income,"$14,425",2,Yes,15,3,3,1,30,3,1,5,5-9 Years,5,1,4
31,25-34,No,0,Non-Travel,"$1,159",Research & Development,8 km,3,Technical Degree,368,3,Female,$31,1,1,Research Scientist,4,Very High,Married,"$8,158",High Income,"$18,826",4,No,14,3,1,1,11,3,1,3,2-4 Years,2,1,0
30,25-34,No,0,Travel_Rarely,"$1,384",Research & Development,7 km,3,Medical,369,4,Unknown,$96,1,2,Laboratory Technician,3,High,Single,"$8,750",High Income,"$15,262",2,Yes,11,3,3,3,3,3,1,1,0-1 Years,1,1,1
28,25-34,No,0,Travel_Rarely,"$1,421",Research & Development,1 km,3,Technical Degree,370,3,Female,$43,4,2,Manufacturing Director,4,Very High,Married,"$9,733",High Income,"$19,652",3,No,11,3,4,0,5,3,1,5,5-9 Years,1,5,3
22,Under 25,No,0,Travel_Rarely,$582,Sales,1 km,3,Marketing,371,1,Female,$46,3,1,Manager,1,Low,Divorced,"$10,073",High Income,"$10,113",4,No,13,4,3,1,0,3,1,0,0-1 Years,0,0,0
54,45-54,No,0,Travel_Rarely,$533,Research & Development,4 km,3,Other,372,1,Male,$92,1,2,Research Director,2,Medium,Single,"$11,466",High Income,"$25,804",1,No,11,3,3,2,33,3,1,0,0-1 Years,0,0,0
48,45-54,No,0,Travel_Frequently,"$1,398",Human Resources,3 km,3,Life Sciences,373,4,Male,$36,1,2,HR Business Partner,4,Very High,Married,"$7,755",High Income,"$7,458",3,Yes,12,3,4,1,27,2,1,1,0-1 Years,1,1,1
34,25-34,No,0,Travel_Rarely,"$1,177",Research & Development,1 km,3,Life Sciences,374,3,Male,$62,4,2,Research Scientist,3,High,Divorced,"$9,776",High Income,"$4,257",3,No,16,3,2,2,10,5,1,1,0-1 Years,1,0,1
24,Under 25,No,0,Travel_Rarely,"$1,427",Research & Development,25 km,3,Technical Degree,375,2,Male,$98,2,1,Research Scientist,4,Very High,Married,"$6,897",Middle Income,"$21,603",0,No,11,3,4,0,2,5,1,2,2-4 Years,2,0,1
37,35-44,No,0,Non-Travel,"$1,040",Sales,26 km,3,Marketing,376,4,Unknown,$97,3,2,Manager,2,Medium,Married,"$10,284",High Income,"$26,748",2,Yes,15,3,3,1,13,5,1,8,5-9 Years,3,0,1
41,35-44,No,0,Travel_Rarely,"$1,188",Research & Development,8 km,3,Medical,377,4,Female,$59,3,2,Manager,2,Medium,Divorced,"$7,323",High Income,"$7,491",2,Yes,11,3,3,0,14,3,1,3,2-4 Years,1,0,3
31,25-34,No,0,Travel_Frequently,$968,Sales,3 km,3,Technical Degree,378,4,Male,$37,2,2,Sales Executive,3,High,Single,"$8,792",High Income,"$14,807",6,No,18,4,3,0,10,4,1,5,5-9 Years,1,4,0
29,25-34,No,0,Travel_Rarely,$338,Research & Development,7 km,3,Other,379,1,Female,$60,1,2,Manufacturing Director,3,High,Married,"$9,205",High Income,"$24,218",3,No,16,3,3,0,7,0,1,7,5-9 Years,0,4,2
45,45-54,No,0,Non-Travel,"$1,496",Research & Development,8 km,3,Medical,380,4,Female,$77,3,3,Manager,4,Very High,Divorced,"$11,283",High Income,"$12,673",3,No,12,3,4,0,23,5,1,7,5-9 Years,1,0,5
48,45-54,No,0,Travel_Rarely,$751,Research & Development,4 km,3,Medical,381,4,Male,$84,1,3,Healthcare Representative,2,Medium,Divorced,"$11,089",High Income,"$23,258",3,No,19,4,3,1,21,2,1,10,10+ Years,1,1,3
47,45-54,No,0,Non-Travel,$581,Sales,1 km,3,Marketing,382,4,Female,$50,1,1,Sales Representative,2,Medium,Married,"$6,810",Middle Income,"$3,621",1,No,18,3,1,1,21,1,1,1,0-1 Years,1,0,1
23,Under 25,Yes,1,Travel_Frequently,"$1,058",Research & Development,1 km,3,Medical,383,3,Unknown,$72,4,2,Healthcare Representative,2,Medium,Married,"$10,771",High Income,"$6,850",1,No,15,3,3,2,0,4,1,0,0-1 Years,0,0,0
43,35-44,No,0,Travel_Frequently,"$1,267",Research & Development,1 km,3,Medical,384,4,Male,$51,2,5,Laboratory Technician,3,High,Married,"$15,134",High Income,"$18,899",3,No,16,3,1,1,24,5,1,15,10+ Years,2,0,4
41,35-44,No,0,Travel_Rarely,$439,Research & Development,7 km,3,Medical,385,2,Male,$81,1,2,Research Director,4,Very High,Married,"$8,387",High Income,"$2,653",2,No,12,3,4,0,17,3,1,3,2-4 Years,1,1,3
48,45-54,No,0,Travel_Rarely,$940,Research & Development,3 km,3,Medical,386,4,Male,$73,3,3,Manager,4,Very High,Married,"$13,133",High Income,"$18,337",0,No,11,3,2,3,24,6,1,12,10+ Years,1,0,7
32,25-34,No,0,Travel_Rarely,"$1,442",Sales,5 km,3,Other,387,4,Female,$75,1,4,Sales Executive,4,Very High,Married,"$10,887",High Income,"$9,244",3,No,13,4,2,1,12,4,1,10,10+ Years,0,0,2
50,45-54,No,0,Non-Travel,"$1,089",Research & Development,24 km,3,Technical Degree,388,3,Male,$61,2,1,Manager,4,Very High,Divorced,"$8,659",High Income,"$24,828",1,No,11,4,2,1,26,5,1,4,2-4 Years,0,0,4
29,25-34,No,0,Travel_Rarely,"$1,229",Research & Development,8 km,3,Technical Degree,389,1,Male,$71,3,1,Manager,4,Very High,Single,"$5,851",Middle Income,"$12,786",3,No,11,4,4,3,0,0,1,0,0-1 Years,0,0,0
25,25-34,No,0,Travel_Rarely,$654,Research & Development,11 km,3,Other,390,2,Female,$66,4,1,Healthcare Representative,2,Medium,Married,"$8,839",High Income,"$26,875",4,No,11,3,1,1,4,4,1,0,0-1 Years,0,0,0
22,Under 25,No,0,Travel_Frequently,$411,Research & Development,9 km,3,Other,391,1,Male,$33,2,2,Manufacturing Director,3,High,Married,"$9,511",High Income,"$11,176",3,Yes,11,3,2,1,0,0,1,0,0-1 Years,0,0,0
31,25-34,Yes,1,Non-Travel,"$1,443",Research & Development,6 km,3,Medical,392,4,Male,$56,3,1,Manufacturing Director,4,Very High,Divorced,"$7,750",High Income,"$16,770",3,No,11,4,1,1,12,3,1,0,0-1 Years,0,0,0
30,25-34,No,0,Travel_Rarely,"$1,046",Research & Development,2 km,3,Life Sciences,393,1,Male,$89,4,2,Laboratory Technician,2,Medium,Married,"$8,875",High Income,"$10,083",2,No,15,3,2,1,4,2,1,4,2-4 Years,0,0,2
18,Under 25,Yes,1,Travel_Rarely,$818,Research & Development,4 km,3,Other,394,2,Male,$78,3,2,Research Scientist,1,Low,Single,"$11,983",High Income,"$19,101",1,No,12,3,2,0,0,2,1,0,0-1 Years,0,0,0
37,35-44,No,0,Travel_Rarely,$696,Sales,20 km,3,Marketing,395,2,Male,$88,2,1,Sales Representative,4,Very High,Single,"$7,109",High Income,"$21,910",2,No,11,3,4,3,14,4,1,1,0-1 Years,1,0,1
39,35-44,No,0,Non-Travel,$107,Research & Development,3 km,3,Life Sciences,396,1,Male,$65,1,2,Research Director,2,Medium,Married,"$11,395",High Income,"$18,735",4,Yes,11,3,1,0,17,5,1,1,0-1 Years,0,1,0
44,35-44,No,0,Travel_Rarely,$178,Research & Development,3 km,3,Life Sciences,397,2,Female,$98,4,2,Manager,2,Medium,Single,"$6,366",Middle Income,"$15,937",1,Yes,12,3,1,1,22,5,1,3,2-4 Years,3,2,3
47,45-54,No,0,Travel_Rarely,"$1,103",Research & Development,2 km,3,Technical Degree,398,1,Female,$69,1,2,Research Director,2,Medium,Married,"$9,549",High Income,"$7,805",2,No,23,3,4,0,24,5,1,9,5-9 Years,3,0,2
43,35-44,No,0,Travel_Rarely,"$1,403",Research & Development,1 km,3,Medical,399,4,Male,$93,2,1,Research Scientist,2,Medium,Married,"$7,415",High Income,"$21,768",1,No,18,3,1,2,21,3,1,4,2-4 Years,1,0,2
28,25-34,Yes,1,Travel_Frequently,$362,Research & Development,6 km,3,Other,400,2,Male,$78,3,1,Manufacturing Director,4,Very High,Married,"$8,295",High Income,"$4,703",5,Yes,22,3,1,0,2,6,1,2,2-4 Years,2,2,2
36,35-44,No,0,Travel_Rarely,"$1,075",Research & Development,5 km,3,Medical,401,3,Female,$87,4,2,Manufacturing Director,1,Low,Single,"$9,264",High Income,"$8,849",1,Yes,17,3,2,0,11,1,1,2,2-4 Years,2,2,1
30,25-34,Yes,1,Travel_Rarely,"$1,280",Sales,4 km,3,Other,402,1,Female,$34,4,1,Sales Representative,2,Medium,Single,"$6,049",Middle Income,"$6,345",4,No,14,3,1,1,6,1,1,2,2-4 Years,2,0,0
24,Under 25,No,0,Travel_Rarely,$902,Research & Development,3 km,3,Medical,403,4,Male,$83,4,2,Research Scientist,3,High,Married,"$9,733",High Income,"$26,758",2,No,23,3,4,0,0,5,1,0,0-1 Years,0,0,0
32,25-34,No,0,Travel_Rarely,$344,Research & Development,1 km,3,Medical,404,1,Female,$32,1,4,Research Scientist,4,Very High,Married,"$13,583",High Income,"$6,049",4,No,16,3,4,0,13,6,1,11,10+ Years,2,1,2
44,35-44,No,0,Travel_Rarely,$109,Research & Development,6 km,3,Technical Degree,405,4,Male,$37,3,1,Laboratory Technician,4,Very High,Single,"$7,258",High Income,"$18,842",3,No,13,3,2,0,21,5,1,3,2-4 Years,0,1,0
33,25-34,No,0,Travel_Frequently,"$1,178",Research & Development,16 km,3,Other,406,4,Female,$66,4,2,Manufacturing Director,4,Very High,Married,"$8,809",High Income,"$17,636",0,Yes,11,3,3,0,9,3,1,8,5-9 Years,0,0,0
56,55+,No,0,Travel_Rarely,$595,Research & Development,1 km,3,Life Sciences,407,4,Male,$64,4,1,Manufacturing Director,2,Medium,Single,"$8,194",High Income,"$19,065",3,Yes,11,4,4,1,31,1,1,0,0-1 Years,0,0,0
47,45-54,No,0,Travel_Frequently,"$1,012",Sales,28 km,3,Technical Degree,408,3,Male,$33,1,3,Manager,4,Very High,Single,"$9,883",High Income,"$6,182",0,Yes,18,3,1,2,23,2,1,9,5-9 Years,0,1,1
44,35-44,No,0,Travel_Rarely,"$1,265",Research & Development,12 km,3,Medical,409,2,Unknown,$43,3,3,Healthcare Representative,3,High,Married,"$11,486",High Income,"$7,614",4,No,18,3,1,1,19,3,1,6,5-9 Years,0,1,2
33,25-34,Yes,1,Travel_Rarely,"$1,147",Research & Development,7 km,3,Other,410,2,Male,$79,1,1,Manager,4,Very High,Married,"$7,112",High Income,"$12,472",2,Yes,15,3,1,0,11,4,1,4,2-4 Years,2,4,2
35,35-44,No,0,Travel_Rarely,$394,Research & Development,4 km,3,Life Sciences,411,3,Female,$95,3,1,Manager,1,Low,Single,"$7,334",High Income,"$12,953",2,No,17,3,1,1,10,2,1,0,0-1 Years,0,0,0
27,25-34,No,0,Travel_Frequently,$384,Research & Development,2 km,3,Other,412,2,Male,$71,2,1,Manager,2,Medium,Single,"$9,855",High Income,"$15,228",3,No,11,3,2,1,1,5,1,1,0-1 Years,1,1,0
24,Under 25,Yes,1,Travel_Frequently,"$1,281",Research & Development,8 km,3,Life Sciences,413,1,Female,$53,4,2,Healthcare Representative,1,Low,Married,"$8,182",High Income,"$5,180",4,No,11,3,4,1,0,2,1,0,0-1 Years,0,0,0
51,45-54,No,0,Travel_Rarely,"$1,480",Sales,1 km,3,Marketing,414,1,Female,$36,2,3,Manager,1,Low,Single,"$9,426",High Income,"$13,615",2,No,11,3,3,1,26,2,1,6,5-9 Years,2,0,2
30,25-34,No,0,Travel_Rarely,$911,Research & Development,1 km,3,Other,415,3,Female,$53,4,2,Manager,2,Medium,Married,"$8,250",High Income,"$3,798",3,No,11,3,1,2,5,6,1,1,0-1 Years,0,0,1
35,35-44,No,0,Travel_Frequently,$965,Sales,6 km,3,Marketing,416,2,Female,$45,1,2,Sales Representative,4,Very High,Single,"$8,924",High Income,"$3,794",3,No,14,4,2,1,15,3,1,6,5-9 Years,2,3,5
36,35-44,No,0,Travel_Rarely,"$1,131",Research & Development,9 km,3,Medical,417,1,Male,$54,2,1,Manufacturing Director,3,High,Single,"$6,908",Middle Income,"$26,380",1,No,18,3,4,1,12,5,1,0,0-1 Years,0,0,0
32,25-34,No,0,Travel_Rarely,"$1,034",Sales,1 km,3,Technical Degree,418,2,Female,$42,4,2,Sales Representative,4,Very High,Married,"$7,124",High Income,"$18,401",6,Yes,12,3,1,1,15,2,1,4,2-4 Years,2,3,4
31,25-34,No,0,Travel_Rarely,$964,Sales,9 km,3,Marketing,419,2,Male,$85,3,1,Sales Executive,1,Low,Married,"$8,258",High Income,"$11,595",4,Yes,18,3,2,0,10,6,1,1,0-1 Years,0,1,1
43,35-44,No,0,Travel_Rarely,"$1,232",Human Resources,29 km,3,Other,420,3,Female,$37,3,2,Manager,3,High,Married,"$11,184",High Income,"$25,738",3,Yes,13,3,2,0,17,4,1,0,0-1 Years,0,0,0
39,35-44,No,0,Travel_Rarely,"$1,478",Sales,2 km,3,Life Sciences,421,4,Male,$81,1,2,Sales Executive,3,High,Divorced,"$8,909",High Income,"$10,836",2,No,18,4,4,2,17,4,1,8,5-9 Years,4,0,4
54,45-54,No,0,Travel_Rarely,$620,Research & Development,20 km,3,Other,422,4,Male,$46,3,3,Research Director,4,Very High,Married,"$11,107",High Income,"$11,039",2,No,12,4,2,1,27,3,1,5,5-9 Years,5,1,3
34,25-34,No,0,Travel_Rarely,"$1,184",Sales,19 km,3,Other,423,4,Male,$80,2,4,Sales Representative,1,Low,Married,"$15,519",High Income,"$22,305",2,No,16,3,1,0,16,0,1,16,10+ Years,2,1,0
53,45-54,No,0,Travel_Rarely,"$1,385",Research & Development,24 km,3,Other,424,3,Male,$58,4,1,Laboratory Technician,4,Very High,Single,"$7,289",High Income,"$11,116",1,No,16,4,4,0,29,4,1,2,2-4 Years,0,1,0
26,25-34,No,0,Travel_Rarely,$131,Research & Development,1 km,3,Technical Degree,425,2,Male,$76,3,2,Manager,2,Medium,Divorced,"$11,088",High Income,"$21,846",1,Yes,21,3,4,0,3,4,1,3,2-4 Years,3,2,0
23,Under 25,Yes,1,Travel_Rarely,$633,Research & Development,1 km,3,Technical Degree,426,4,Male,$65,1,1,Healthcare Representative,3,High,Married,"$6,922",Middle Income,"$17,148",1,No,17,3,2,0,0,3,1,0,0-1 Years,0,0,0
31,25-34,Yes,1,Travel_Rarely,$702,Sales,7 km,3,Life Sciences,427,4,Male,$49,3,3,Sales Executive,4,Very High,Married,"$8,912",High Income,"$16,876",1,Yes,13,3,3,0,12,1,1,6,5-9 Years,5,5,1
40,35-44,No,0,Travel_Rarely,$368,Research & Development,2 km,3,Life Sciences,428,2,Female,$72,1,2,Manager,3,High,Married,"$7,764",High Income,"$5,732",2,No,14,3,3,1,18,5,1,2,2-4 Years,1,0,2
32,25-34,No,0,Travel_Rarely,$559,Research & Development,5 km,3,Life Sciences,429,1,Male,$35,1,2,Research Scientist,4,Very High,Married,"$8,794",High Income,"$14,206",3,No,16,3,4,2,9,4,1,3,2-4 Years,0,2,0
30,25-34,No,0,Travel_Frequently,$145,Research & Development,5 km,3,Technical Degree,430,4,Female,$31,3,2,Research Director,1,Low,Divorced,"$9,733",High Income,"$23,143",2,No,11,3,2,1,9,2,1,3,2-4 Years,0,1,1
47,45-54,No,0,Travel_Rarely,$307,Sales,3 km,3,Other,431,1,Male,$49,1,2,Manager,2,Medium,Married,"$9,962",High Income,"$5,608",3,No,14,3,4,0,25,4,1,2,2-4 Years,1,1,2
22,Under 25,No,0,Travel_Rarely,$796,Sales,4 km,3,Life Sciences,432,1,Male,$54,4,1,Sales Executive,2,Medium,Single,"$6,492",Middle Income,"$23,623",3,No,12,3,3,1,0,6,1,0,0-1 Years,0,0,0
38,35-44,No,0,Travel_Rarely,"$1,251",Research & Development,6 km,3,Technical Degree,433,2,Female,$49,4,4,Manufacturing Director,4,Very High,Married,"$13,733",High Income,"$22,944",1,No,25,3,3,1,16,6,1,16,10+ Years,2,1,4
29,25-34,Yes,1,Travel_Rarely,"$1,389",Research & Development,11 km,3,Technical Degree,434,3,Male,$49,1,1,Manager,2,Medium,Married,"$6,439",Middle Income,"$3,252",2,Yes,11,3,4,0,3,2,1,2,2-4 Years,2,0,2
33,25-34,No,0,Non-Travel,"$1,329",Research & Development,1 km,3,Medical,435,2,Female,$72,4,2,Manufacturing Director,3,High,Married,"$7,215",High Income,"$26,825",5,No,16,3,4,0,6,0,1,3,2-4 Years,3,2,3
43,35-44,No,0,Travel_Rarely,$505,Research & Development,5 km,3,Technical Degree,436,2,Female,$74,2,2,Manufacturing Director,4,Very High,Married,"$9,814",High Income,"$5,676",3,Yes,11,3,4,0,17,5,1,7,5-9 Years,0,4,1
20,Under 25,No,0,Travel_Rarely,$434,Sales,5 km,3,Marketing,437,2.5,Male,$94,1,2,Sales Executive,4,Very High,Married,"$8,242",High Income,"$2,321",1,Yes,12,3,4,0,0,3,1,0,0-1 Years,0,0,0
41,35-44,No,0,Travel_Rarely,"$1,484",Sales,6 km,3,Other,438,1,Male,$52,1,2,Manager,1,Low,Married,"$9,012",High Income,"$8,431",0,Yes,13,3,1,2,17,3,1,0,0-1 Years,0,0,0
30,25-34,No,0,Travel_Frequently,$928,Research & Development,4 km,3,Life Sciences,439,2,Female,$86,3,2,Manufacturing Director,3,High,Married,"$10,331",High Income,"$17,438",1,No,17,3,3,1,9,6,1,0,0-1 Years,0,0,0
34,25-34,Yes,1,Travel_Rarely,$205,Research & Development,5 km,3,Technical Degree,440,4,Female,$65,4,2,Research Director,1,Low,Divorced,"$11,468",High Income,"$23,340",0,No,11,3,2,0,10,0,1,1,0-1 Years,1,0,1
31,25-34,No,0,Travel_Rarely,"$1,279",Sales,10 km,3,Other,441,4,Female,$73,3,3,Manager,4,Very High,Married,"$9,473",High Income,"$17,935",4,Yes,14,3,2,0,10,0,1,8,5-9 Years,4,5,1
48,45-54,No,0,Travel_Rarely,$974,Sales,1 km,3,Other,442,3,Male,$64,3,1,Manager,3,High,Married,"$7,365",High Income,"$24,024",2,No,14,3,4,0,27,6,1,1,0-1 Years,1,1,1
34,25-34,No,0,Travel_Rarely,$661,Research & Development,14 km,3,Other,443,1,Male,$91,2,3,Research Scientist,1,Low,Single,"$10,571",High Income,"$26,325",3,Yes,11,3,3,0,9,5,1,9,5-9 Years,1,0,2
32,25-34,No,0,Travel_Rarely,$613,Sales,1 km,3,Life Sciences,444,1,Male,$67,3,1,Sales Representative,1,Low,Married,"$6,743",Middle Income,"$23,211",4,No,22,3,3,0,14,3,1,1,0-1 Years,0,0,1
29,25-34,No,0,Travel_Rarely,"$1,470",Research & Development,8 km,3,Technical Degree,445,1,Male,$54,4,2,Healthcare Representative,4,Very High,Single,"$8,809",High Income,"$5,948",2,No,16,3,3,1,6,4,1,5,5-9 Years,5,5,2
44,35-44,No,0,Travel_Rarely,$679,Sales,1 km,3,Life Sciences,446,2,Female,$93,3,4,Sales Executive,4,Very High,Married,"$12,642",High Income,"$6,006",4,No,15,4,2,0,22,5,1,13,10+ Years,0,2,3
49,45-54,No,0,Travel_Rarely,"$1,201",Research & Development,16 km,3,Technical Degree,447,3,Male,$80,4,2,Healthcare Representative,2,Medium,Married,"$10,138",High Income,"$19,561",3,No,18,3,2,0,32,6,1,2,2-4 Years,2,2,2
34,25-34,No,0,Travel_Rarely,$412,Research & Development,3 km,3,Medical,448,4,Male,$34,1,1,Healthcare Representative,2,Medium,Single,"$9,460",High Income,"$15,987",3,No,11,3,2,1,13,4,1,2,2-4 Years,0,0,0
35,35-44,No,0,Travel_Rarely,"$1,406",Research & Development,1 km,3,Other,449,1,Female,$43,1,3,Manufacturing Director,1,Low,Single,"$12,715",High Income,"$8,041",1,Yes,19,3,2,1,16,2,1,6,5-9 Years,0,0,4
44,35-44,Yes,1,Travel_Rarely,"$1,247",Research & Development,2 km,3,Other,450,3,Female,$50,3,3,Laboratory Technician,4,Very High,Married,"$13,495",High Income,"$15,087",2,Yes,16,3,2,1,18,0,1,7,5-9 Years,2,0,0
25,25-34,Yes,1,Travel_Rarely,$576,Sales,2 km,3,Technical Degree,451,1,Male,$47,4,2,Manager,4,Very High,Divorced,"$7,634",High Income,"$6,098",4,Yes,11,3,1,2,1,5,1,1,0-1 Years,0,1,1
33,25-34,Yes,1,Travel_Rarely,"$1,333",Research & Development,7 km,3,Life Sciences,452,2.5,Female,$53,1,2,Manager,2,Medium,Divorced,"$8,275",High Income,"$19,413",1,No,16,3,2,0,6,1,1,5,5-9 Years,1,5,0
45,45-54,No,0,Travel_Rarely,$245,Research & Development,16 km,3,Other,453,2,Female,$72,1,4,Healthcare Representative,1,Low,Married,"$12,770",High Income,"$15,301",1,Yes,12,3,3,1,24,0,1,11,10+ Years,3,0,1
41,35-44,No,0,Travel_Rarely,$762,Sales,19 km,3,Technical Degree,454,1,Female,$56,3,1,Sales Executive,3,High,Divorced,"$7,439",High Income,"$23,799",2,Yes,21,3,3,0,18,3,1,1,0-1 Years,1,1,1
41,35-44,No,0,Non-Travel,"$1,199",Sales,24 km,3,Marketing,455,1,Male,$42,1,2,Sales Executive,3,High,Divorced,"$8,110",High Income,"$23,206",3,No,16,4,4,1,24,1,1,4,2-4 Years,4,1,2
26,25-34,No,0,Travel_Rarely,$697,Research & Development,19 km,3,Technical Degree,456,2,Male,$46,1,2,Healthcare Representative,3,High,Married,"$11,052",High Income,"$23,676",3,No,23,3,2,2,5,3,1,1,0-1 Years,0,0,1
27,25-34,No,0,Travel_Frequently,$987,Research & Development,6 km,3,Technical Degree,457,4,Male,$97,3,1,Research Director,3,High,Single,"$7,056",High Income,"$14,609",4,No,21,4,2,1,13,1,1,1,0-1 Years,1,1,0
54,45-54,No,0,Travel_Rarely,$403,Sales,2 km,3,Technical Degree,458,3,Female,$48,2,3,Sales Representative,2,Medium,Single,"$11,432",High Income,"$14,896",2,No,13,3,1,1,29,1,1,8,5-9 Years,4,3,3
26,25-34,No,0,Travel_Rarely,$800,Research & Development,10 km,3,Life Sciences,459,3,Male,$41,1,1,Manufacturing Director,1,Low,Divorced,"$7,407",High Income,"$22,501",4,No,16,3,1,0,1,5,1,1,0-1 Years,1,1,1
21,Under 25,No,0,Travel_Rarely,"$1,274",Sales,5 km,3,Technical Degree,460,2,Female,$70,4,1,Sales Executive,1,Low,Married,"$6,744",Middle Income,"$19,627",2,No,11,3,2,2,0,0,1,0,0-1 Years,0,0,0
39,35-44,No,0,Travel_Rarely,$281,Research & Development,4 km,3,Other,461,3,Male,$75,1,4,Laboratory Technician,1,Low,Married,"$16,437",High Income,"$25,252",3,Yes,22,3,2,0,14,1,1,14,10+ Years,1,1,2
23,Under 25,No,0,Travel_Frequently,$463,Research & Development,1 km,3,Medical,462,2,Male,$71,1,3,Research Scientist,3,High,Divorced,"$10,784",High Income,"$12,086",2,No,11,3,2,1,6,5,1,5,5-9 Years,5,2,1
39,35-44,No,0,Travel_Rarely,$789,Research & Development,12 km,3,Life Sciences,463,1,Female,$54,1,2,Research Scientist,3,High,Single,"$7,777",High Income,"$24,735",5,No,11,4,3,2,18,0,1,0,0-1 Years,0,0,0
32,25-34,No,0,Travel_Rarely,"$1,128",Research & Development,3 km,3,Life Sciences,464,1,Male,$42,1,2,Research Director,4,Very High,Divorced,"$10,019",High Income,"$15,634",2,Yes,12,3,4,3,5,4,1,5,5-9 Years,5,5,3
32,25-34,No,0,Travel_Rarely,$313,Research & Development,8 km,3,Other,465,2,Male,$79,4,2,Research Director,2,Medium,Married,"$8,136",High Income,"$6,042",2,No,14,3,3,1,10,1,1,7,5-9 Years,2,1,0
35,35-44,No,0,Travel_Rarely,$852,Research & Development,12 km,3,Medical,466,1,Male,$39,2,2,Healthcare Representative,3,High,Married,"$10,504",High Income,"$26,810",1,No,22,3,3,0,13,5,1,0,0-1 Years,0,0,0
51,45-54,No,0,Travel_Rarely,$847,Research & Development,1 km,3,Medical,467,4,Female,$81,2,1,Manager,2,Medium,Married,"$8,102",High Income,"$15,263",3,No,12,3,3,1,33,5,1,3,2-4 Years,1,0,1
35,35-44,No,0,Travel_Rarely,"$1,135",Research & Development,4 km,3,Technical Degree,468,3,Female,$77,2,2,Laboratory Technician,4,Very High,Married,"$11,485",High Income,"$6,568",4,Yes,11,3,1,1,13,0,1,0,0-1 Years,0,0,0
47,45-54,Yes,1,Travel_Rarely,"$1,355",Research & Development,5 km,3,Life Sciences,469,3,Female,$41,4,1,Manager,4,Very High,Single,"$7,429",High Income,"$18,846",2,Yes,16,3,2,1,18,4,1,0,0-1 Years,0,0,0
27,25-34,Yes,1,Travel_Frequently,$569,Sales,15 km,3,Technical Degree,470,4,Male,$75,1,2,Sales Representative,2,Medium,Married,"$9,400",High Income,"$24,606",5,Yes,11,3,2,3,5,1,1,4,2-4 Years,3,0,0
24,Under 25,Yes,1,Travel_Frequently,"$1,164",Sales,27 km,3,Life Sciences,471,2,Male,$72,3,2,Manager,2,Medium,Married,"$10,116",High Income,"$12,743",1,No,19,3,3,0,6,5,1,1,0-1 Years,1,0,1
39,35-44,No,0,Travel_Rarely,$981,Sales,1 km,3,Marketing,472,3,Female,$87,1,2,Sales Executive,1,Low,Married,"$10,080",High Income,"$3,631",2,No,13,3,1,0,17,0,1,2,2-4 Years,2,0,2
29,25-34,No,0,Travel_Rarely,$816,Research & Development,22 km,3,Technical Degree,473,3,Female,$78,4,1,Manager,2,Medium,Married,"$8,431",High Income,"$23,951",0,No,15,3,2,1,4,2,1,0,0-1 Years,0,0,0
35,35-44,Yes,1,Travel_Rarely,$268,Research & Development,1 km,3,Life Sciences,474,4,Male,$77,1,2,Research Scientist,3,High,Married,"$7,443",High Income,"$7,371",6,Yes,20,3,1,0,15,6,1,0,0-1 Years,0,0,0
41,35-44,No,0,Travel_Frequently,"$1,444",Research & Development,1 km,3,Life Sciences,475,1,Male,$87,1,2,Healthcare Representative,4,Very High,Single,"$11,996",High Income,"$14,003",2,No,18,4,3,1,17,2,1,1,0-1 Years,1,1,1
18,Under 25,Yes,1,Travel_Frequently,$156,Research & Development,2 km,3,Other,476,3,Male,$63,2,1,Manufacturing Director,3,High,Married,"$6,203",Middle Income,"$16,265",3,No,16,3,1,0,0,5,1,0,0-1 Years,0,0,0
34,25-34,No,0,Travel_Rarely,$309,Research & Development,7 km,3,Technical Degree,477,2,Female,$37,4,4,Manufacturing Director,4,Very High,Single,"$13,108",High Income,"$25,713",3,No,11,3,2,0,17,1,1,12,10+ Years,1,0,0
39,35-44,No,0,Travel_Rarely,"$1,030",Sales,1 km,3,Life Sciences,478,1,Female,$44,4,3,Sales Representative,1,Low,Married,"$10,827",High Income,"$11,271",1,No,14,3,2,0,16,3,1,8,5-9 Years,3,0,2
42,35-44,No,0,Travel_Rarely,"$1,467",Research & Development,9 km,3,Life Sciences,479,1,Male,$64,1,1,Healthcare Representative,1,Low,Married,"$5,841",Middle Income,"$23,348",2,No,13,4,3,0,19,5,1,0,0-1 Years,0,0,0
31,25-34,No,0,Travel_Frequently,$180,Sales,2 km,3,Marketing,480,2,Female,$34,3,1,Sales Executive,2,Medium,Single,"$8,663",High Income,"$5,664",0,No,19,3,2,0,10,0,1,0,0-1 Years,0,0,0
